         1285522 function calls (1208653 primitive calls) in 1.802 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      309    0.003    0.000    0.023    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\controlflow.py:489(_find_post_dominators)
       11    0.000    0.000    0.023    0.002 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\ssa.py:132(_find_defs_violators)
      138    0.002    0.000    0.023    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\ntpath.py:678(relpath)
       84    0.000    0.000    0.022    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\inline_closurecall.py:1299(match)
       83    0.003    0.000    0.022    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\inline_closurecall.py:1312(_inline_const_arraycall)
     3518    0.004    0.000    0.022    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\llvmlite\ir\_utils.py:16(register)
      186    0.000    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
        7    0.000    0.000    0.020    0.003 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\imputils.py:188(imp)
      749    0.004    0.000    0.020    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\llvmlite\ir\builder.py:748(store)
       23    0.000    0.000    0.020    0.001 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\pprint.py:55(pformat)
    15877    0.006    0.000    0.020    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\abc.py:96(__instancecheck__)
       11    0.000    0.000    0.020    0.002 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\ir.py:1535(dump_to_string)
       23    0.000    0.000    0.020    0.001 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\pprint.py:151(pformat)
       11    0.000    0.000    0.020    0.002 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\ir.py:1509(dump)
       11    0.000    0.000    0.020    0.002 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\typeinfer.py:944(build_constraint)
   633/23    0.002    0.000    0.020    0.001 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\pprint.py:163(_format)
      408    0.002    0.000    0.019    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\interpreter.py:361(_dispatch)
      449    0.001    0.000    0.019    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\typeinfer.py:1289(constrain_statement)
       84    0.002    0.000    0.019    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\ir.py:1235(dump)
      363    0.001    0.000    0.018    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\typeinfer.py:1354(typeof_assign)
       12    0.000    0.000    0.018    0.002 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\pprint.py:419(_pprint_default_dict)
      211    0.001    0.000    0.018    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\lowering.py:1320(delvar)
